CASE,SD01,SD03,SD17,SD19,SM01,SM04,SM04_01,SM05_01,SM05_02,SM06_01,SM06_02,SM06_03,SM06_04,SM06_05,SM06_06,SM06_07,SE01_01,SE01_02,SE01_03,SE01_04,SE01_05,SE01_06,SE01_07,SE01_08,SE01_09,MISSREL,TIME_RSI,DEG_TIME
94,male,24,less than 250 €,High school,Yes,Approx.,10,0,39,Less than once a week,Once a week,Several times a day,Once a week,Less than once a week,Never,Never,Moderate agreement,Strong agreement,Moderate disagreement,Slight agreement,Strong agreement,Niether agreement nor disagreement,Strong agreement,Moderate agreement,Niether agreement nor disagreement,0,"0,6",2
95,male,24,1500 € up to 2000 €,Bachelor,Yes,Approx.,20,2,51,Once a day,Several times a day,Several times a day,Never,Less than once a week,Less than once a week,Never,Moderate agreement,Moderate agreement,Moderate disagreement,Slight disagreement,Strong agreement,Slight disagreement,Strong disagreement,Moderate agreement,Strong disagreement,0,"0,76",0
96,male,23,500 € up to 1000 €,High school,Yes,Approx.,40,2,5,2-6 times a week,Several times a day,Several times a day,Never,Once a week,Less than once a week,Less than once a week,Niether agreement nor disagreement,Slight agreement,Moderate disagreement,Niether agreement nor disagreement,Moderate agreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Moderate disagreement,Moderate disagreement,0,"1,36",18
97,female,21,1000 € up to 1500 €,Bachelor,Yes,Approx.,10,0,18,Never,Less than once a week,Once a day,Less than once a week,Several times a day,Once a week,Less than once a week,Strong disagreement,Niether agreement nor disagreement,Strong disagreement,Niether agreement nor disagreement,Moderate agreement,Niether agreement nor disagreement,Strong disagreement,Moderate disagreement,Strong disagreement,0,"1,34",17
101,female,24,1000 € up to 1500 €,Bachelor,Yes,Approx.,30,0,42,Less than once a week,Once a week,Once a week,2-6 times a week,2-6 times a week,Less than once a week,Less than once a week,Niether agreement nor disagreement,Slight agreement,Moderate disagreement,Slight disagreement,Moderate disagreement,Niether agreement nor disagreement,Moderate disagreement,Slight agreement,Moderate disagreement,0,"0,68",1
102,,,,,Yes,I have not visited Instagram today.,,0,40,Never,Never,Once a day,2-6 times a week,Several times a day,Never,Never,,,,,,,,,,0,"1,18",24
103,,,,,No,,,,,,,,,,,,,,,,,,,,,0,"1,59",40
104,male,23,500 € up to 1000 €,Master,Yes,Approx.,15,0,23,Never,Never,Several times a day,Once a week,2-6 times a week,Less than once a week,Less than once a week,Strong disagreement,Moderate agreement,Moderate disagreement,Slight agreement,Slight agreement,Niether agreement nor disagreement,Moderate disagreement,Moderate agreement,Slight disagreement,0,"1,74",37
106,male,28,1000 € up to 1500 €,Master,Yes,Approx.,2,0,32,Less than once a week,Once a week,Once a day,Never,Less than once a week,Never,Never,Slight disagreement,Slight disagreement,Strong disagreement,Niether agreement nor disagreement,Slight agreement,Niether agreement nor disagreement,Moderate disagreement,Slight disagreement,Moderate disagreement,0,"1,96",64
107,,,,,Yes,,,,,,,,,,,,,,,,,,,,,0,"1,48",24
108,female,22,I do not wish to answer,Bachelor,Yes,Approx.,5,0,9,Never,Never,Several times a day,Never,Several times a day,Several times a day,Less than once a week,Moderate disagreement,Strong agreement,Moderate disagreement,Slight agreement,Moderate agreement,Slight agreement,Strong disagreement,Strong disagreement,Strong disagreement,0,"1,06",5
110,male,32,5000 € or more,Master,Yes,Approx.,60,0,38,Once a day,Once a day,Several times a day,Never,Less than once a week,Never,Less than once a week,Niether agreement nor disagreement,Niether agreement nor disagreement,Slight agreement,Slight agreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Slight agreement,Slight disagreement,Niether agreement nor disagreement,0,"2,03",96
